ChunkIndex,PageNumber,SectionName,WordCount,ChunkChecksum,ChunkText
11,6,Structural racism:,109,fe8087d0f2eebe0e8e1fe880ab5d7d2e613896afac535ce1b45186672fc5ff1b,"Policies and laws, such as voter registration laws, can make it difficult for people who experience structural racism to have a say in the decisions that affect them. These rules, set and applied by people who have power, unevenly affect living conditions and create patterns of disadvantage for racialized people. Patterns of disadvantage also show up through under-resourced schools, unsafe housing and limited access to health care, and make it impossible to establish the conditions people need to be healthy. Many civil rights victories were won — and rules were changed — because we recognized that our fates are linked and collectively worked to change laws, governance and worldviews."
12,7,Model in action:,119,aa2b13c6822be84287a6eb4177d1b188a9efd388cc15390f9037a1e7489052f5,"Model in action: How rules and power shape conditions Variation in Community Conditions Among U.S. Counties Community Conditions Health Groups Regions like the Black Belt, Appalachia, American Indian/Alaska Native Tribal Areas and counties along the U.S.-Mexico border have historically, and continue to have, less access to the community conditions needed for good health. But how are those conditions created? And who creates them? Compare the image to the right to the one below. Where types of long-standing discrimination and disinvestment have occurred through policies and practices — such as racial segregation through redlining, legal actions to terminate tribal culture and land rights and disinvestment in rural economies — counties fall among the least healthy in measures of community conditions."
13,7,Model in action:,73,354ccab14f4572bbad2b299a612c651bb8bd9cca476ce1e2d4cd8117de7a40bc,"The University of Wisconsin Population Health Institute’s Model of Health provides a framework to understand how community conditions are shaped by societal rules and the way those rules are determined and applied through power. Let’s explore how some of the conditions in the places we live, learn, work and play came to be. U.S Regions with Types of Long-Standing Discrimination and Disinvestment Regions with Types of Long-Standing Disinvestment Data source: 2025 CHR&R Dataset"
14,8,"Severe Housing Cost Burden Among Renters, 2019-2023",139,d0201e035468d8a2287b3a2aaf09b5b93665d2c146c675d0f955e60330f462ed,"Severe Housing Cost Burden Among Renters, 2019-2023 Percentage of households that rent with housing costs >50% of household income Severe Housing Cost Burden Among Low-income* Renters, 2019-2023 Percentage of low-income households that rent with housing costs >50% of household income Housing Stable and affordable housing is essential for a healthy community. Housing near quality schools and jobs that pay a living wage create more opportunities that support health. Housing near grocery stores with affordable and nutritious food make eating healthier easier. Unsafe housing that contains toxins such as lead, mold and smoke makes us sick. And when too much of a paycheck goes toward the rent or mortgage, it makes it difficult to afford other essentials. One out of every four renters, and more than half of low-income renters, spends more than half of their income on housing costs."
15,8,"Severe Housing Cost Burden Among Renters, 2019-2023",129,960d67e33343214b0be7f189d3597f8322a35b12adcfffe74d05dfe5182a4bbd,"This burden can force people to choose between paying for food, transportation or medical care. The map on the top right shows the percentage of renters experiencing severe housing cost burden — a problem that touches counties in every region of the country. Across the U.S., there are nearly 10 million low-income renter households that spend more than half of their income on housing costs, as shown in the map on bottom right. Many cost-burdened renters are just one unforeseen event — an illness, job loss, financial crisis, or even a drop in hours at work — from losing their housing.  For low-income renters, the risk of homelessness is especially high. Data source: U.S. Census, American Community Survey Data source: U.S. Census, American Community Survey. * See technical notes."
16,9,Page 9,154,14944c06796cb5e87f7d8c87a51bdb2a24a23cae5645e7e4cffcb8b5c5ef6ce8,"Across and within counties, there are stark differences in the opportunities to live in safe, affordable housing, especially for low-income renters. These differences emerge from long-standing, deep-rooted and unfair written and unwritten rules, such as redlining, under-resourced housing programs with long waitlists and restrictive zoning regulations. Government planning departments make zoning recommendations which determine the availability of multi-unit rental housing. Elected officials and wealthy community members have used their power to influence government departments to exclude and segregate groups of people by race or income. Simply put, zoning laws can be used to prevent affordable multi-unit rental housing from being built. This is an example of governance, or how institutions make decisions. Zoning regulations are also an example of laws and policies, because they are enshrined through local ordinances. Working together, communities can change societal rules to ensure that everyone has the right to live in safe and affordable housing. SOCIETAL RULES AND POWER"
17,10,Education,116,f8d5dea894fd630324f9f6bf8b922c426736be7b94d4e1dc6ce509b72fc63cc1,"Education Schools play an important role in children’s physical, mental and social well-being. Academic performance at younger ages, like reading and math scores, are a predictor of a high school graduation rates, which are strongly correlated with higher life expectancies and improved quality of life. Most K-12 education funding decisions are made by local and state elected officials, and informed by school boards and community advocates. Only a modest percentage of funding comes from the federal government. Budgets shape the ability of schools to provide quality services and education. Adequate funding for teachers’ salaries, programs and equipment is an example of how societal rules around the distribution of resources can impact the health of a community."
18,10,Education,87,db92bb71b6304e62f47e1a529c7fc6df13ccb2d9e64aaca77e31d198ac477e8e,"Schools are primarily funded through tax revenue. Schools in communities that have experienced disinvestment are more likely to be underfunded, which compound on top of other forms of disadvantage. The map below shows the distribution of school funding adequacy across the U.S. Counties in blue have adequate per-pupil spending to achieve national average test scores, while schools in orange counties are facing deficits. School Funding Adequacy Among U.S. Counties, 2022 Deficit in per-pupil spending necessary to achieve national average test scores Data source: School Finance Indicators Database"
19,11,Page 11,173,f8b6be54ab0fb087790e29f3bc67fd6037d0e4daa451d0e107142de02e8c332c,"Half of all counties in the U.S. operate with a public school funding deficit, needing to spend, on average, more than an additional $3,000 per student annually for their students to achieve national average test scores. And deficits are particularly large in the Black Belt Region (see map on top left). Schools and districts with more funding can provide students with higher- quality, broader and deeper opportunities. Reductions in class sizes and increases in instructional time and teachers’ salaries can lead to better educational outcomes for students, like third grade reading scores (see map bottom left). We can use our power to ensure that every child attends well-resourced schools and receives quality education. Third Grade Reading Scores Among U.S. Counties, Black Belt Region Highlighted, 2019 Average grade level performance for 3rd third graders on English Language Arts standardized tests School Funding Adequacy Among U.S. Counties, Black Belt Region Highlighted, 2022 Deficit in per-pupil spending necessary to achieve national average test scores Data source: School Finance Indicators Database Data source: Standford Education Data Archive"
20,12,"Income, employment and wealth",168,4aeed48786fcd3b72b76cf0d95fb6527544264ad9a136f7a7e10964776f460e1,"Income, employment and wealth Stable, living wage jobs and fair pay are essential for health as they shape the opportunities and choices we have about housing, education, child care, food, medical care and more. Yet women across all races and ethnicities earn less than men do, on average, for the same roles in nearly every occupation due to the written and unwritten rules applied by people and organizations that wield power. The gender pay gap is the ratio of women’s median earnings to men’s for all full-time, year-round workers. Women earn little more than 80 cents for every dollar men earn — nearly 60 years after Congress passed the Equal Pay Act to ban wage discrimination based on gender. Women of all races and ethnicities must work several more days — if not months — to earn the $73,497 average annual salary of a white man. Hispanic women must work the longest — an additional 276 days, or over nine months. Data source: American Community Survey, 5-year estimates"
21,13,Page 13,178,c77806432f073cea753649d4ef9a8da6e8e9be58c85beb420825ba0ac8b78408,"The gender pay gap exists because of institutional practices and worldviews, culture and norms. It reflects systemic, ingrained patterns within workplaces and society that devalue and discriminate against women, especially women of color. These patterns reflect narratives, or value-based themes of stories, which help us frame the stories we tell and the decisions we make. In this case, the worldview that dominates gender pay gap is not sufficiently challenged by corporate leadership and elected officials’ values of patriarchy, or a social system in which positions of authority are primarily held by men. Worldviews, and the narratives formed because of them, influence institutional practices. Based on what and who leaders value, leadership of organizations and companies uphold practices such as segregating women into low-wage jobs, devaluing jobs typically held by women, and exercising biased hiring, promotion and layoff practices that create persistent inequities in pay. This, in turn, limits what families can afford to support healthy and dignified lives. We can change society’s written and unwritten rules so everyone who works earns a fair wage. SOCIETAL RULES AND POWER"
22,14,A call to action:,116,07a2617ee94bb32ef3a2cd45a66e10f728834a459f75e73feb09250767a3cdbc,"A call to action: Build power for health and equity Public health’s roots in community organizing remind us what is possible when we commit to social, political and economic reform. The following resources can help shift power and restructure societal rules so everyone has an opportunity to thrive. l Community organizing in public health: Advance public health by using community organizing methods, such as developing leadership, campaigning, and building power to influence decisions, agendas, and worldviews. l In Solidarity podcast: Organizing for Health is a series exploring the power of organizing to improve our health. Episodes cover public health’s history of organizing around just causes and the ways it can return to its powerful, political roots."
23,14,A call to action:,69,12dbdb47c8d4b92658fa5ea5099da045b3e374a22f82ba417b220f5b1271930f,"l Narratives for Health: Explore ways to build power by influencing worldviews, reimagining what is possible and creating a world where everyone thrives through shifting narratives. Check out the recently published resource, Narratives for Health – In Action, to find ways to advance and embed narratives. l Webinars: Learn about structural determinants of health in public health practice. Join our post-webinar discussions to build a learning community with others."
24,15,About County Health Rankings & Roadmaps,114,253ab348fb625c5c68994b7982f06d63e56d52289e58e05a5be0774f36443e11,"About County Health Rankings & Roadmaps County Health Rankings & Roadmaps (CHR&R), a program of the University of Wisconsin Population Health Institute, draws attention to why there are differences in health within and across communities. The program seeks to grow a shared understanding of health, equity and the power of communities to improve health for all. This work is rooted in a long-term vision for all people and places to have what they need to thrive. We recognize that we solve problems better when we include everyone. CHR&R is committed to creating resources and tools that support community-led efforts to accurately diagnose core problems, understand and account for historical context and implement evidence-informed solutions."
25,15,About County Health Rankings & Roadmaps,59,f0580a4437e01982b0a7e5718cdc2ad4e13f91a48d3c68b98a3c237f661f4838,"CHR&R believes that differences in opportunity result from our collective decision-making. We can build the will to implement evidence-informed policies and programs that positively influence how resources are allocated, how services are provided, how groups are valued and, ultimately, how and whether we thrive. CHR&R seeks to foster social solidarity and help build community power for health and equity."
26,16,Glossary of terms and technical notes,131,602d96bbd40d7159625e6560ef921d32221d1ddb8154460c16c613439d772e25,"Glossary of terms and technical notes Glossary of terms Community conditions: The social and economic factors, physical environment and health infrastructure in which people are born, live, learn, work, play, worship and age. Community conditions are also referred to as the social determinants of health (County Health Rankings & Roadmaps). Community organizing: The processes by which people who have a common identity or purpose unite to build relationships, identify shared issues, collectively analyze those issues to understand structural injustices, develop collective goals based on that analysis, and implement strategies and tactics to reach those goals. This includes developing leadership skills, activating members for direct action and campaigning, expanding group membership and building power among the group and broader community to influence decisions, set agendas and shift worldviews (Jimenez & Heller 2025)."
27,16,Glossary of terms and technical notes,123,040ece08d64a7ac7447c1747fa86491bbee9d44b8fdb63bb901d8391816b531e,"Community power:  The ability of communities most impacted by structural inequity to develop, sustain and grow an organized group of people who act together through democratic structures to set agendas, shift public discourse, influence who makes decisions and cultivate ongoing relationships of mutual accountability with decision-makers that change systems and advance health equity (Lead Local 2023). Health equity: Assurance of the conditions for optimal health for all people. Achieving health equity requires valuing all individuals and populations equally, recognizing and rectifying historical injustice and providing resources according to need (Jones 2014). Societal rules: Societal rules are the written and unwritten rules and how they are applied to shape community conditions. Written rules may be formalized and documented in laws, policies, regulations and budgets."
28,16,Glossary of terms and technical notes,121,65cf5d9ccf80bf47c1893465e86d8af1991f0f99bdc621634ca700d13fd33c47,"Unwritten rules are made up of worldviews, culture and norms (County Health Rankings & Roadmaps). Narratives: Values-based themes of stories that we use to understand our world. A narrative communicates and reinforces a worldview and engages people in considering their own understanding of the world around them (County Health Rankings & Roadmaps — adapted from Grassroots Power Project). Structural determinants of health: The written and unwritten rules that create, maintain or eliminate durable and hierarchical patterns of advantage between socially constructed groups in the conditions that affect health. The manifestation of power relations in which people and groups with more power based on current social structures work to maintain their advantage by reinforcing or modifying these rules (Heller et al. 2024)."
29,16,Glossary of terms and technical notes,193,ab579a95c5b50f7a77683d524abb9cd0722a518746440e53fec07aed3b956c1b,"Structural racism: The totality of ways in which societies foster racial discrimination through mutually reinforcing systems of housing, education, employment, earnings, benefits, credit, media, health care and criminal justice. These patterns and practices reinforce discriminatory beliefs, values and distribution of resources (Bailey et al. 2017). Technical notes Definitions for racial and ethnic categories: We recognize that race and ethnicity are social categories. Society may identify individuals based on their physical appearance or perceived cultural ancestry, as a way of characterizing individuals’ value. These categories are not based on biology or genetics. A strong and growing body of empirical research provides support for the fact that genetic factors are not responsible for racial differences in health factors and very rarely for health outcomes. We are bound by data collection and categorization of race and ethnicity to the U.S. Census Bureau definitions, in adherence with the 1997 Office of Management and Budget standards. Our analyses also do not capture those reporting more than one race, of “some other race” or who do not report their race. This categorization can mask variation within racial and ethnic groups and can hide historical context that underlies health differences."
30,17,Definitions for regions and county categories:,119,ecc081524b0c366a8379236f27abb130e72443dcfda2d52567d770fc3028933f,"Definitions for regions and county categories: • The Appalachian Region is defined as the 423 counties across 13 states from southern New York to northern Mississippi that span the Appalachian Mountain range and are served by the Appalachian Regional Commission. • The Black Belt Region is defined as the 285 counties in the southern region of the U.S. that have populations where greater than or equal to 30% of their residents identify as non-Hispanic Black or African American alone, according to the 2020 decennial census. • The U.S.-Mexico Border Region is defined as the aggregate of 44 counties within 100 kilometers (or 62.5 miles) of the international boundary, stretching 2,000 miles from the southern tip of Texas to California."
31,17,Definitions for regions and county categories:,182,813e402c1dd7b7f883e9d82ead1266367d756251c15aa378aec4aeed326b3ab7,"• AI/AN tribal areas and their surrounding counties is defined as counties where any part of the county includes an American Indian or Alaska Native tribal area as delineated by the U.S. Census Bureau. Low-income renters in this report are defined according to guidelines on the Federal Poverty Level (FPL) from the U.S. Department of Health and Human Services (DHHS). DHHS issues annual guidelines on the Federal Poverty Level (FPL) for administrative purposes, including determining financial eligibility for certain federal programs. These guidelines vary by family size and for non-contiguous states. According to the most recent data from 2023, a household of four at 150% of the FPL earned $45,000. The data for rent as a percentage of household income used in this report come from the U.S. Census American Community Survey for 2019-2023, which has an income category that spans $35,000 to $49,999. Thus, low-income renters were defined as households earning less than $50,000. Data sources and measures Information on the measures used in this year’s report and the methods used to calculate Community Conditions Groups is available at www. countyhealthrankings.org."
32,18,University of Wisconsin Population Health Institute,218,e84cbe68802a9f827ac1cb42481f86f6e7ab915433f458257104da7a8bee8c53,"University of Wisconsin Population Health Institute 610 Walnut St., Madison, WI 53726 (608) 265-8240 | info@countyhealthrankings.org Recommended citation: University of Wisconsin Population Health Institute, County Health This publication would not have been possible without the following contributors: Contributors are listed in alphabetical order: Lead authors: Elizabeth Blomberg, PhD; Keith Gennuso, PhD; Kim Gilhuly, MPH; Marjory Givens, PhD, MSPH; Jonathan Heller, PhD; Sheri Johnson, PhD, Christine Muganda, PhD; Bethany Rogerson, MS; Michael Stevenson, MPH StoryMaps develper: Jess Hoffelder, MPH Research assistance Francis Amedoadzi Travis Austin Katherine Barnes, MS, MPH, CPH Molly Burdine, MS Ben Case, MPH Kiersten Frobom, MPA, MPH Gillian Giglierano, MPA Lael Grigg, MPA Bomi Kim Hirsch, PhD Ganhua Lu, MS, PhD Heriberto Martir Suryadewi Nugraheni, MD, MA, PhD Hannah Olson-Williams, PhD Naiya Patel, MPA, MPH Jennifer Robinson Jessica Rubenstein, MPA, MPH Jessica Solcz, MPH Outreach & communications Beth Silver, MCM Colleen Wick, MS Narrative infrastructure Angela Acker, MPH Jed Amurao, MPH Ericka Burroughs-Girardi, MA, MPH Soraya Willems-Neal Website & dissemination Lindsay Garber, MPA Molly Neumeyer, MS Everett Trechter, MPP Operations Tricia Ballweg James Lloyd, MS Plumer Lovelace III Erin Schulten, MPH, MBA Cathy Vos Communications & website support Burness Forum One Support for this work was provided by the Robert Wood Johnson Foundation. The views expressed here do not necessarily reflect the views of the Foundation."
